,3G SPECIAL SITUATIONS FUND IV SUB/RED
,PX_LAST
Date,
2016-08-31,1749.654276
2016-09-30,1749.654276
2016-10-31,1764.572035
2016-11-30,1764.572035
2016-12-30,1723.5789
2017-01-31,1723.5789
2017-02-28,1723.5789
2017-03-31,1781.212313
2017-04-28,1781.212313
2017-05-31,1781.209951
2017-06-30,1704.1451
2017-07-31,1704.1451
2017-08-31,1704.1451
2017-09-29,1560.709367
2017-10-31,1560.709367
2017-11-30,1560.71
2017-12-29,1561.392645
2018-01-31,1561.392645
2018-02-28,1561.392645
2018-03-29,1289.80576
2018-04-30,1289.80576
2018-05-31,1289.81
2018-06-29,1289.80576
2018-07-31,1311.722668
2018-08-31,1311.722668
2018-09-28,1174.892515
2018-10-31,1174.892515
2018-11-30,1174.892515
2018-12-31,939.588958
2019-01-31,939.588958
2019-02-28,939.588958
2019-03-29,939.588958
2019-04-30,709.134577
2019-05-31,709.134577
2019-06-28,688.869161
2019-07-31,688.869161
2019-08-30,688.869161
2019-09-30,616.482776
2019-10-31,616.482776
2019-11-29,616.482776
2019-12-31,726.958959
2020-01-31,726.958959
2020-02-28,726.958959
2020-03-31,561.638172
2020-04-30,561.638172
2020-05-29,561.638172
2020-06-30,731.452881
2020-07-31,731.452881
2020-08-31,731.452881
2020-09-30,684.388631
2020-10-30,684.388631
2020-11-30,684.388631
2020-12-31,684.388631
2021-01-29,781.660987
2021-02-26,781.660987
2021-03-31,892.6597
2021-04-30,892.6597
2021-05-28,892.6597
2021-06-30,892.6597
2021-07-30,924.2662
