;data;Product;FinancialPrice;MesAno;Mes_nomial;Mes;Ano;Retorno_1;Retorno
9;2017-01-31;BLACK COMM MS II;0,0;01-2017;Jan;1;2017;;
8;2016-12-30;BLACK COMM MS II;0,0;12-2016;Dec;12;2016;;
7;2016-11-30;BLACK COMM MS II;0,0;11-2016;Nov;11;2016;;
6;2016-10-31;BLACK COMM MS II;0,0;10-2016;Oct;10;2016;;
5;2016-09-30;BLACK COMM MS II;0,0;09-2016;Sep;9;2016;;
4;2016-08-31;BLACK COMM MS II;0,0;08-2016;Aug;8;2016;;
3;2016-07-29;BLACK COMM MS II;0,0;07-2016;Jul;7;2016;;
2;2016-06-30;BLACK COMM MS II;0,0;06-2016;Jun;6;2016;;
1;2016-05-31;BLACK COMM MS II;185,7375946044922;05-2016;May;5;2016;0,0;-1,0
0;2016-04-29;BLACK COMM MS II;302,6170349121094;04-2016;Apr;4;2016;0,6137711405754089;-0,38622885942459106
